direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
,,1563577,"galera therapeutics, inc.",0,1,0,0,20191108,degnan chris,89924319027034,Chief Financial Officer,male,300597.0
,,1563577,"galera therapeutics, inc.",1,0,1,0,20191108,powell michael,89924319027035,,male,300597.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20191108,cunningham emmett,89924319027041,,male,300597.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20191108,fuller jason,120919119055888,,male,300597.0
68191.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20191112,beardsley robert a,89924319027114,Chief Operating Officer,male,300597.0
,,1563577,"galera therapeutics, inc.",0,0,1,1,20191114,novo holdings a/s,120919119056527,,male,300597.0
4000.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20191217,alleva lawrence m,89924319029402,,male,24807789.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,sussman joel f.,89924320002872,Chief Accounting Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,fratamico arthur,89924320002871,Chief Business Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,degnan chris,89924320002869,Chief Financial Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",1,1,0,0,20200204,sorensen mel,89924320002868,President and CEO,female,24811567.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,riley dennis,89924320002867,Chief Scientific Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,holmlund jon t,89924320002874,Chief Medical Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20200204,beardsley robert a,89924320002866,Chief Operating Officer,male,24811567.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20200402,west linda,89924320009939,,female,24820070.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20200507,holmlund jon t,89924320012297,Chief Medical Officer,male,24820070.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20200512,holmlund jon t,89924320012872,Chief Medical Officer,male,24820070.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20200522,holmlund jon t,89924320014034,Chief Medical Officer,male,24820070.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20200528,holmlund jon t,89924320014428,Chief Medical Officer,male,24820070.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20200610,alleva lawrence m,89924320015975,,male,24820070.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20200610,cunningham emmett,89924320015977,,male,24820070.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20200610,lokay kevin g,89924320015974,,male,24820070.0
,,1563577,"galera therapeutics, inc.",1,0,1,0,20200610,powell michael,89924320015976,,male,24820070.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20201007,holmlund jon t,89924320027723,Chief Medical Officer,male,24912516.0
,,1563577,"galera therapeutics, inc.",0,0,1,0,20201019,novo holdings a/s,120919120055281,,male,24912516.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20201028,holmlund jon t,89924320029545,Chief Medical Officer,male,24912516.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20201116,sussman joel f.,89924320031172,Chief Accounting Officer,male,24951352.0
6325.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20201117,alleva lawrence m,89924320031268,,male,24951352.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20210128,fratamico arthur,89924321003608,Chief Business Officer,male,24976142.0
,,1563577,"galera therapeutics, inc.",1,1,0,0,20210128,sorensen mel,89924321003609,President and CEO,female,24976142.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20210128,holmlund jon t,89924321003610,Chief Medical Officer,male,24976142.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20210128,beardsley robert a,89924321003611,Chief Operating Officer,male,24976142.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20210128,sussman joel f.,89924321003612,Chief Accounting Officer,male,24976142.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20210128,degnan chris,89924321003614,Chief Financial Officer,male,24976142.0
,,1563577,"galera therapeutics, inc.",0,0,1,0,20210219,novo holdings a/s,120919121012452,,male,24976142.0
232044.0,,1563577,"galera therapeutics, inc.",1,1,0,0,20210330,sorensen mel,89924321013913,President and CEO,female,24976142.0
20000.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20210602,west linda,89924321021576,,female,25193157.0
4045.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20210603,alleva lawrence m,89924321021824,,male,25193157.0
30000.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20210604,west linda,89924321022167,,female,25193157.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210617,cunningham emmett,89924321024499,,male,25193157.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210617,powell michael,89924321024503,,male,25193157.0
40000.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20210617,west linda,89924321024505,,female,25193157.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210617,alleva lawrence m,89924321024506,,male,25193157.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210617,lokay kevin g,89924321024507,,male,25193157.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210706,cunningham emmett,89924321027605,,male,25919411.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210706,alleva lawrence m,89924321027604,,male,25919411.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20210706,west linda,89924321027606,,female,25919411.0
0.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20210903,holmlund jon t,89924321035130,Chief Medical Officer,male,26365632.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20211012,bachleda mark,89924321039959,Chief Commercial Officer,male,26438767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20211012,stacey jennifer evans,89924321039956,See Remarks,female,26438767.0
60000.0,,1563577,"galera therapeutics, inc.",1,0,0,0,20211220,west linda,89924321049012,,female,26438767.0
88191.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20211220,beardsley robert a,89924321049011,Chief Operating Officer,male,26438767.0
,,1563577,"galera therapeutics, inc.",1,1,0,0,20220302,sorensen mel,89924322008578,President and CEO,female,26458767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220302,bachleda mark,89924322008580,Chief Commercial Officer,male,26458767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220302,holmlund jon t,89924322008581,Chief Medical Officer,male,26458767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220302,stacey jennifer evans,89924322008582,See Remarks,female,26458767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220302,degnan chris,89924322008583,Chief Financial Officer,male,26458767.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220302,beardsley robert a,89924322008585,Chief Operating Officer,male,26458767.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220616,lokay kevin g,89924322022798,,male,26819421.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220616,west linda,89924322022790,,female,26819421.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220616,alleva lawrence m,89924322022793,,male,26819421.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220616,cunningham emmett,89924322022786,,male,26819421.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220616,powell michael,89924322022787,,male,26819421.0
,,1563577,"galera therapeutics, inc.",1,0,0,0,20220705,west linda,89924322024971,,female,26821589.0
2325.0,8045.0,1563577,"galera therapeutics, inc.",1,0,0,0,20220720,alleva lawrence m,89924322026391,,male,26821589.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20220902,kennedy eugene p.,89924322030285,Chief Medical Officer,male,26821589.0
98191.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20220913,beardsley robert a,89924322030911,Chief Operating Officer,male,26821589.0
108191.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20221122,beardsley robert a,89924322036697,Chief Operating Officer,male,28500066.0
,,1563577,"galera therapeutics, inc.",1,1,0,0,20230228,sorensen mel,89924323006473,President and CEO,female,28510066.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20230228,degnan chris,89924323006470,Chief Financial Officer,male,28510066.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20230228,beardsley robert a,89924323006475,Chief Operating Officer,male,28510066.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20230228,bachleda mark,89924323006468,Chief Commercial Officer,male,28510066.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20230228,stacey jennifer evans,89924323006467,See Remarks,female,28510066.0
,,1563577,"galera therapeutics, inc.",0,1,0,0,20230228,kennedy eugene p.,89924323006469,Chief Medical Officer,male,28510066.0
10000.0,,1563577,"galera therapeutics, inc.",0,1,0,0,20230314,degnan chris,89924323008288,Chief Financial Officer,male,42830066.0
332044.0,,1563577,"galera therapeutics, inc.",1,1,0,0,20230314,sorensen mel,89924323008289,President and CEO,female,42830066.0
