direct,indirect,issuer_cik,issuer_name,isDirector,isOfficer,isTenPercentOwner,isOther,date,name,accession,officerTitle,predicted_gender,total_stock
62512.0,366680.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,mcneill john a jr,103340810000001,,male,
959.0,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100105,wilkinson michael o.,143137310000001,Executive Vice President,male,
11460.0,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100105,darazsdi daniel g,141229210000001,Chief Financial Officer,male,
11769.0,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100105,sharbaugh william j,139988310000001,Chief Operating Officer,male,
638.0,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100105,richardson william w,134308410000001,Sr. VP Global Bus. Development,male,
13844.0,,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,magnuson terry,118115810000001,,male,
13844.0,,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,klema cathy,118115710000001,,female,
68844.0,,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,frank fred,118115510000001,,male,
17844.0,,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,bondurant stuart,118115210000001,,male,
163233.0,476227.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100105,mario ernest,118046910000001,,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,wilkinson michael o.,143137310000003,Executive Vice President,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,darazsdi daniel g,141229210000003,Chief Financial Officer,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,sharbaugh william j,139988310000003,Chief Operating Officer,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,richardson william w,134308410000003,Sr. VP Global Bus. Development,male,
,,1003124,pharmaceutical product development inc,1,1,0.0,0.0,20100301,grange david l,126490810000001,Chief Executive Officer,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,hartman judd,118115610000001,General Counsel,male,
,,1003124,pharmaceutical product development inc,0,1,0.0,0.0,20100301,dingivan christine a,144076610000001,EVP/Chief Medical Officer,female,
,512943.0,1003124,pharmaceutical product development inc,1,1,0.0,0.0,20100301,eshelman fredric n,103340910000001,Executive Chairman,male,
263153.0,37000.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100315,mario ernest,118046910000003,,male,
78512.0,2980622.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100323,mcneill john a jr,103340810000002,,male,
,424229.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100521,mario ernest,118046910000004,,male,
,2980622.0,1003124,pharmaceutical product development inc,1,0,0.0,0.0,20100521,mcneill john a jr,103340810000003,,male,
