cik,original_name,new_name,date
0000881590,ALLIANCE TECHNOLOGIES INC,STEREOSCAPE COM INC,1999-04-01
0000885475,PROCEPT INC,HEAVENLYDOOR COM INC,2000-07-10
0000890285,PEACHTREE FIBEROPTICS INC /DE/,VFINANCE COM,2000-05-15
0000893855,MOBINETIX SYSTEMS INC,ATPOS COM INC,1999-06-10
0000894049,UC NWIN SYSTEMS CORP /DE/,WINNERS EDGE COM INC,2000-08-10
0000894538,THERMOVIEW INDUSTRIES INC,FIRST CAPITAL RESOURCES COM INC,1999-06-15
0000895650,DIASENSE INC /PA/,DIASENSOR COM INC,1999-11-17
0000896726,KINETIC VENTURES LTD,SUITE101 COM INC,1998-12-24
0000897545,LS CAPITAL CORP,EURBID COM INC,2000-12-11
0000899778,CASINO RESOURCE CORP,BOUNCEBACKTECHNOLOGIES COM INC,2000-01-13
0000908256,CHINA TIRE HOLDINGS LTD,CHINA TIRE E COMMERCE COM LTD,2001-02-14
0000911434,HOSPITALITY WORLDWIDE SERVICES INC,HOTELWORKS COM INC,2000-01-26
0000918411,FORESTRY INTERNATIONAL INC,INFYNIA COM CORP,2000-04-12
0000920317,FIRST VIRTUAL CORP,FVC COM INC,1998-08-11
0000920038,7TH LEVEL INC,LEARN2 COM INC,1999-07-01
0000921313,MULTIMEDIA ACCESS CORP,VIEWCAST COM INC,1999-04-20
0000921878,NUMED SURGICAL INC,NUTRICEUTICALS COM CORP,1999-08-12
0000922913,INFOCALL COMMUNICATIONS CORP,INFE COM INC,2000-09-22
0000925894,NATIONAL DIAGNOSTICS INC,AMERICAN ENTERPRISE COM CORP,2000-05-15
0000940986,MUSTANG SOFTWARE INC,MUSTANG COM INC /CA/,1999-05-21
0000931799,ALTERNATIVE ENTERTAINMENT INC,BOYSTOYS COM INC,1999-11-23
0000932127,CERX VENTURE CORP,EBONLINEINC COM,1999-08-06
0000927456,MEDIRISK INC,CAREDATA COM INC,1999-04-14
0000945081,CAM DESIGNS INC,NETDIGEST COM INC,2000-03-28
0000945532,USABANCSHARES INC,USABANC COM INC,1999-06-24
0000945688,SPORTSLINE USA INC,SPORTSLINE COM INC,2000-02-22
0000949728,UNITED CASINO CORP,UNITED TRADING COM,2000-11-17
0000949721,CREATIVE BAKERIES INC,Brooklyn Cheesecake & Desert Com,2005-02-22
0000949857,SYSTEMS COMMUNICATIONS INC,HITSGALORE COM INC,1999-05-26
0000948545,TEL SAVE HOLDINGS INC,TEL SAVE COM INC,1998-11-19
0001000079,SC&T INTERNATIONAL INC,HOT PRODUCTS INC COM,2001-10-29
0001000231,HIE INC,HEALTHCARE COM CORP,2000-03-21
0001000459,US AMATEUR SPORTS INC,ECOM ECOM COM INC,1999-06-15
0001001136,NM HOLDINGS INC,STOCKWALK COM GROUP INC,1999-08-16
0001002520,CELLULARVISION USA INC,SPEEDUS COM INC,1999-08-30
0001003930,MAGIC LANTERN GROUP INC,CASINOBUILDERS COM,1998-09-11
0001006708,BIG CITY BAGELS INC,VILLAGEWORLD COM INC,2000-01-07
0001008130,MODACAD INC,STYLECLICK COM INC,1999-05-24
0001108630,TROYDEN CORP,COMMUNICATE COM INC,2002-11-08
0001010615,PUBLISHING CO OF NORTH AMERICA INC,ATTORNEYS COM INC,2000-08-14
0001012464,XETAL INC,SICKBAY COM INC,2000-03-14
0001012481,E NET INC,ZEROPLUS COM INC,2000-02-08
0001013690,HARMAT ORGANIZATION INC,BARPOINT COM INC,1999-12-10
0001016708,AMERICAN ALLIANCE CORP,WHATSONLINE COM INC,1999-08-09
0001017545,SOLOPOINT INC,SOLOPOINT COM INC,2000-05-15
0001017535,HOLLYWOOD PRODUCTIONS INC,SHOPNET COM INC,1999-04-01
0001017822,RECOVERY NETWORK INC,RNETHEALTH COM INC,1999-05-14
0001018693,PROSOFT I NET SOLUTIONS INC,PROSOFTTRAINING COM,1999-12-01
0001020475,"NorWesTech, Inc.","GRANDPARENTS.COM, INC.",2012-02-24
0001020669,HEALTH BUILDERS INTERNATIONAL INC,MCY COM INC /DE/,1999-05-14
0001099217,ASTURIAS INDUSTRIES INC,FISHTHEWORLD COM INC,2002-05-23
0001099729,BBB HUNTER ASSOCIATES INC,HOMETECCH COM INC,2000-07-07
0001099330,THOROUGHBRED RACING ASSOCIATES INC,VDO COM INC,2000-05-17
0001098322,HOTEL RESERVATIONS NETWORK INC,HOTELS COM,2002-02-11
0001098315,INNOVATIVE HEALTH PRODUCTS INC,GO2PHARMACY COM INC,2000-05-12
0001097618,LAKOTA TECHNOLOGIES INC,2 NFINITY COM INC,2000-04-27
0001096494,MIRACOM CORP,PARTS COM INC,1999-11-23
0001096298,H&L INVESTMENTS INC,ASIA 4 SALE COM INC,2000-11-20
0001096295,MORECI CORP,ESPORTBIKE COM INC,2000-08-21
0001095291,"WEBSITE PROS, INC.","WEB.COM GROUP, INC.",2008-10-01
0001096025,PCG MEDIA INC,I2CORP COM,2000-02-14
0001094641,SOFTLINK INC,INCHORUS COM,2000-02-16
0001093982,MAS ACQUISITION XIII CORP,LOANRATES ONLINE COM INC,2000-01-31
0001093986,MAS ACQUISITION XVI CORP,PAYFORVIEW COM CORP/,2000-04-17
0001093673,"Azur International, Inc.",HOTYELLOW98 COM INC,1999-10-22
0001092753,CONSOLIDATED DATA INC,YOUR BANK ONLINE COM INC,2000-07-31
0001092661,ANSEL PROJECT INC,USARADIO COM INC,2000-03-16
0001092310,BALLYNAGEE ACQUISITION CORP,E FINANCIAL DEPOT COM,2000-02-04
0001092693,ORGANICNET INC,VELOCITY COM INC,2000-01-13
0001091563,PLUME CREEK INC,SPEEDLANE COM INC,2000-05-16
0001090309,EBONY & GOLD VENTURES INC,BOOKTECH COM INC,2000-04-04
0001090503,FAMOUS INTERNET MALL INC,YELLOWBUBBLE COM INC,2000-05-30
0001090156,VITAMINSHOPPECOM INC,VITAMINSHOPPE COM INC,1999-07-27
0001023364,AUTO BY TEL CORP,AUTOBYTEL COM INC,1999-06-10
0001088182,EVINEYARD INC,Wine.com Inc,2005-12-28
0001088211,ANNEX BUSINESS RESOURCES INC,NEWSGURU COM INC,2000-02-15
0001088401,ASSET SERVICING CORP,OMNI PARK PASS COM INC,2000-11-20
0001085257,QUENTIN ROAD PRODUCTIONS INC,INTELILABS COM INC,2000-05-12
0001084883,NETGEN 2000 INC,GONETGEN COM INC,2000-07-31
0001083652,ANTHEM RECORDING WEST INC,UDATE COM INC,2000-05-22
0001084332,SALON INTERNET INC,SALON COM,2000-05-22
0001082736,SACIO INC,FREESOFTWARECLUB COM,2000-02-18
0001082233,BABYS BEST LABORATORIES,BABYS BEST COM INC,2000-11-15
0001024628,ZAP POWER SYSTEMS INC,ZAPWORLD COM,1999-11-15
0001082121,CORE SYSTEMS INC,ANGELAUDIO COM INC /DE/,2000-11-13
0001082506,UNWIRED PLANET INC,PHONE COM INC,1999-06-10
0001081369,MAS ACQUISITION VII CORP,DIMGROUP COM INC,1999-09-13
0001080724,AMERICAS HOME PAGE INC,TAKES COM INC,1999-06-22
0001080866,INTELLIGENT LIFE CORP,ILIFE COM INC,2000-05-01
0001080772,KENROY COMMUNICATIONS CORP,EHOMEONE COM INC,2001-05-18
0001024920,DURWOOD INC /UT,SPORTSNUTS COM INTERNATIONAL INC,1999-04-20
0001080235,G P PROPERTIES INC,KWIKWEB COM INC,1999-11-16
0001078749,TOWN PAGES HOLDINGS PLC,TOWNPAGESNET COM PLC,1999-03-18
0001077561,STATESIDE FUNDINGS INC,RELOCATE 411 COM INC /,2000-07-17
0001076682,SMD GROUP INC,CDBEAT COM INC,1999-05-17
0001076607,CARIBBEAN VENTURES INC /NV/,INTERNETFINANCIALCORP COM INC,2000-03-21
0001026506,ONSALE INC,EGGHEAD COM INC/DE,1999-11-15
0001073672,SENTRY ACCOUNTING INC,TRAVELNOW COM INC/FL,1999-08-11
0001073794,EMPOWER HEALTH CORP,DRKOOP COM INC,1999-04-21
0001071522,GENESIS MEDIA GROUP INC /DE/,GENESISINTERMEDIA COM INC,1998-12-04
0001070630,IT STAFFING LTD,THINKPATH COM INC,2000-05-02
0001066821,FUJI ELECTROCELL CORP,CLASSIFIED ONLINE COM,1999-09-14
0001066010,COMPUTER LITERACY INC,FATBRAIN COM INC,1999-02-12
0001064624,TIBERON RESOURCES LTD,EPROMO COM,2000-11-13
0001065013,GOODNOISE CORP,EMUSIC COM INC,1999-09-03
0001063701,MATHY CORP,DRIVINGAMERICA COM INC,1999-01-11
0001062868,SOUTHWEST MANUFACTURING CORP/TX,AUTOCO COM INC,1998-08-13
0001061310,MULTEX SYSTEMS INC,MULTEX COM INC,1999-01-15
0001027915,SPECIALTY CARE NETWORK INC,HEALTHGRADES COM INC,2000-03-27
0001061103,CORPORATE TOURS & TRAVEL INC,ABSOLUTEFUTURE COM,1999-05-13
0001028079,COMPU DAWN INC,MYTURN COM INC,2000-02-03
0001060531,SOFTWARE NET CORP,BEYOND COM CORP,1998-11-20
0001060239,WORLD HOUSE ENTERTAINMENT INC,800 AMERICA COM INC,1999-08-12
0001059899,REVENGE MARINE INC,ETRAVELSERVE COM INC,2000-01-26
0001059137,SIERRA HOLDINGS GROUP INC,INSIDERSTREET COM INC,2000-10-06
0001057653,FIRST TARGET ACQUISITION INC,THATLOOK COM INC/NV,1999-05-28
0001057695,INTERNATIONAL SMART SOURCING INC,CHINAB2BSOURCING COM INC,2000-08-14
0001029262,VOYAGER GROUP USA-BRAZIL LTD,VOYAGER INTERNET GROUP COM,2000-12-18
0001055364,LASERMEDIA COMMUNICATIONS CORP,ACTFIT COM INC,2000-06-30
0001054097,I TECH HOLDINGS INC,STOCKGROUP COM HOLDINGS INC,1999-11-16
0001054303,CENTENNIAL BANC SHARE CORP,EASY QUAL COM,2000-06-28
0001054709,NETIVATION INC,NETIVATION COM INC,1999-06-14
0001052671,AUTOEYE INC,FORESTINDUSTRY COM INC,2000-08-29
0001052924,AMERICAN DIVERSIFIED HOLDINGS INC,AMDIV COM INC,1998-09-24
0001029802,VAXCEL INC,CHATTOWN COM NETWORK INC,2000-04-03
0001052327,ASYMETRIX LEARNING SYSTEMS INC,CLICK2LEARN COM INC,2000-08-14
0001050725,SOUTHEAST COMMERCE HOLDING CO,EBANK COM INC,1999-12-14
0001050691,INTERNATIONAL FUEL SOLUTIONS INC,RETAIL HIGHWAY COM INC,1999-11-08
0001049505,NEW WORLD PUBLISHING INC /CO/,SONICPORT COM,2000-09-19
0001030814,INTERNATIONAL BARTER CORP,UBARTER COM INC,1999-05-14
0001048135,C2I SOLUTIONS INC,GLOBALDIGITALCOMMERCE COM INC,1999-04-16
0001047643,ADVANCED COMMUNICATIONS GROUP INC/DE/,WORLDPAGES COM INC,2000-01-24
0001047294,BUFFALO CAPITAL VI LTD,ISOLVER COM INC,1999-05-03
0001047295,BUFFALO CAPITAL VII LTD,WORKFIRE COM INC,1999-08-16
0001046893,3PM HOLDING CORP,SPINPLANET COM INC,1999-10-12
0001044693,MASTER COMMUNICATIONS CORP,I INCUBATOR COM INC,2000-03-30
0001044738,CAFE ODYSSEY INC,POPMAIL COM INC,1999-09-13
0001044991,"PEDESTAL CAPITAL MARKETS, INC.","BONDS.COM, INC.",2008-02-27
0001044991,"MTS MARKETS INTERNATIONAL, INC.",BONDS.COM LLC,2023-02-28
0001043222,NEO MODERN ENTERTAINMENT CORP,CHINAWE COM INC,2001-02-12
0001043884,CROSS CHECK CORP,HOUSEHOLD DIRECT COM INC,1999-12-27
0001042373,INNOVATIVE TRACKING SOLUTIONS CORP,THEHEALTHCHANNEL COM INC,1999-05-27
0001042291,PENTEGRA DENTAL GROUP INC,E-DENTIST COM INC,2000-12-21
0001042091,STREAMLINE INC,STREAMLINE COM INC,1999-04-15
0001041479,PREMIUM CIGARS INTERNATIONAL LTD,PRODUCT EXPRESS COM EBUSINESS SERVICES INC,2000-05-08
0001041377,GS MORTGAGE SECURITIES II SERIES 1997-GL I,GS MORTGAGE SECS CORP II COM MORT PAS THR CERT SRS 1997-GL 1,1997-12-22
0001039947,TARCYN CORP,MERCHANTONLINE COM INC,1999-02-08
0001040022,VIRTUAL GAMING TECHNOLOGIES INC,VIRTGAME COM CORP,2000-03-30
0001038083,ADVANTIX INC,TICKETS COM INC,1999-02-26
0001037321,FINELINE PROPERTIES INC,"FINELINE PROPERTIES.COM, INC",2005-03-31
0001037599,DIDAX INC,CROSSWALK COM,1999-12-23
0001037628,GLOBAL MEDIA CORP,GLOBALMEDIA COM,2000-02-10
0001036588,REALM PRODUCTIONS & ENTERTAINMENT INC,EMAILTHATPAYS COM INC,2000-03-30
0001035789,HEALTHCORE MEDICAL SOLUTIONS INC,ADATOM COM INC,1999-11-23
0001034694,TRANSFORMATION PROCESSING INC,EAUTOCLAIMS COM INC,2000-08-24
0001034867,AFFILIATED NETWORKS INC,MAREX COM INC,1999-08-30
0001034812,FIRST SIERRA FINANCIAL INC,SIERRACITIES COM INC,2000-01-28
0001079368,LEISURE CONCEPTS INTERNATIONAL INC,CI4NET COM INC,2000-01-04
0001079388,NELSON THOMAS INC EMPL STOCK OWNERSHIP PLAN INVEST COMMITTEE,NELSON THOMAS INC SAVING & INVEST PLAN EMPLOYEE BENEFITS COM,2001-01-04
0001100360,IVORY ACQUISITION CORP,COSMOZ COM INC/CA,2000-02-11
0001100592,ERXSYS INC,SURFORAMA COM INC,2000-12-06
0001100891,INTERNET CORP OF AMERICA,QINNET COM INC,2000-08-14
0001101367,MAGICAL MARKETING INC,ISEMPLOYMENT COM INC,2000-05-22
0001101867,INET TECHNOLOGY GROUP INC,MINDLOFT COM INCORP,2000-01-12
0001102997,INETVISIONZ INC,INETVISIONZ COM INC,2000-10-10
0001103023,OMNINET MEDIACOM INC,OMNINET MEDIA COM INC,2000-10-30
0001103580,TOWER GLOBAL VENTURES CORP,COFFEEHOUSE COM INC,2002-02-20
0001103783,REDIFF COMMUNICATION LTD,REDIFF COM INDIA LTD,2000-06-15
0001104220,HARDROCK MINES INC,EXOTICS COM INC,2001-04-05
0001104855,SUPPORTSOFT INC,"Support.com, Inc.",2009-05-27
0001105064,THIRDCAI INC,IVOICE COM INC /DE,2000-11-13
0001107604,GENERATION ACQUISITION CORP,SYNDICATION NET COM INC,2000-08-07
0001109661,HOMESTEAD TECHNOLOGIES INC,HOMESTEAD COM INC,2000-10-06
0001110049,PROVIDENCE CAPITAL II INC,LIFELONG COM INC,2000-07-20
0001115128,COUPONS INC,COUPONS.com Inc,2013-10-25
0001116708,MAS ACQUISITION LII CORP,CHINESEINVESTORS COM INC /CA/,2000-11-08
0001122130,ELYSIUM INTERNET INC,"THEDIRECTORY.COM, INC.",2014-03-06
0001132442,BOSTECH CORP,hc1.com Inc.,2013-04-12
0001137095,1 800 MUTUALS ADVISOR SERIES,MUTUALS COM,2002-08-09
0001139570,TELECOM COMMUNICATIONS INC,"MyStarU.com,Inc.",2006-01-27
0001162346,911 PERFORMANCE INC,dfw-consultants.com,2004-04-22
0001173641,ALLRECIPESCOM INC,ALLRECIPES COM INC,2002-06-03
0001179090,IPORUSSIA INC,"Bonds.com Group, Inc.",2007-12-12
0001862117,"Austin Software, Inc.","Howdy.com, Inc.",2022-08-29
0001810140,1847 Goedeker Inc.,Polished.com Inc.,2022-07-21
0001683963,"Zeus Lending, LLC",ZEUS LENDING.COM,2018-03-21
0001667727,KROUDFUNDING CORP.,crowdsourcefunded.com,2016-03-22
0001476720,"WodaBiz, Inc.","uKnow.com, Inc.",2010-12-22
0001473132,"Hulaco, Inc.","FinancialForce.com, inc.",2009-09-29
0001456009,RENT MARKETER INC,"rentbits.com, Inc.",2009-02-09
0001439254,"Oregon Gold, Inc.","China Ceetop.com, Inc.",2011-01-28
0001429489,TREERT INC,"APPLETREE.COM, INC",2008-03-10
0001422742,mBuy Inc,MILO.COM INC.,2008-11-25
0001418196,Park & Sell Corp.,"Bidfish.com, Inc.",2009-10-06
0001409711,SpeedEdate Inc,SPEEDDATE.COM INC,2007-08-13
0001281198,TORA TECHNOLOGIES INC,Makeup.com LTD,2006-12-22
0001271075,"Upstream Worldwide, Inc.","usell.com, Inc.",2012-07-20
0001265848,Boly Group Holdings Corp,US VR Global.com Inc.,2018-01-31
0001259550,INTERCHANGE CORP,LOCAL.COM,2006-08-10
0001258655,NMP INC,MARKETWATCH COM INC,2004-01-21
0001238729,COMMERCIAL MORTGAGE PASS-THROUGH CERTIFICATES SERIES 2003-C3,CREDIT SUISSE FIRST BOSTON MOR SEC CORP COM CER SER 2003-C3,2003-06-04
0001232586,COMMERCIAL MORTGAGE PASS-THROUGH CERTIFICATES SERIES 2003-C3,STRUCTURED ASSET SEC CORP II COM MORT PAS THR CER SE 03 C3,2003-05-13
0001222218,MAGNADATA INC,"MORTGAGEBROKERS.COM HOLDINGS, INC.",2005-03-22
0001204413,POINTS INTERNATIONAL LTD,POINTS.COM INC.,2021-11-10
0001219097,CAPE COASTAL TRADING CORP,"uBid.com Holdings, Inc.",2006-02-10
0001303152,College Prowler Inc,"Niche.com, Inc.",2005-12-22
0001322463,Altura International,SHOP COM,2005-04-14
0001335795,"EASTERN SERVICES HOLDINGS, INC.",FUND.COM INC.,2008-01-04
0001341470,Intersearch Group Inc,"Banks.com, Inc.",2007-11-14
0001342144,WIKISPHERE INC,WETPAINT.COM INC,2005-10-20
0001359361,900 SECONDS INC,BIX.COM INC,2006-03-29
0001360752,Success Exploration & Resources Inc,FileWarden.com,2014-01-29
0001367929,CASHBOARD INC,"BILL.COM, INC.",2006-06-16
0001383825,DISCOVER SCREENS INC,"NET TALK.COM, INC.",2007-05-29
0001392955,ReputationDefender Inc,"Reputation.com, Inc",2010-05-07
0001514113,"Unique Underwriters, Inc.","JunkieDog.com, Inc.",2014-09-26
0001516226,"Chargeback Guardian, Inc.","Chargeback.com, Inc.",2013-09-12
0001518720,M Street Gallery Inc.,"Enhance-Your-Reputation.com, Inc.",2013-11-18
0001541301,"Folkstory, Inc.","JustFamily.com, Inc.",2014-10-09
0001543272,"Spicy Gourmet Manufacturing, Inc.","BullsNBears.com, Inc.",2012-11-19
0001560438,"Meakem Newco, Inc.",Forever.com Inc.,2013-01-02
0001560113,MaxTrade Online LLC,MaxTradeIn.Com LLC,2012-10-18
0001579451,Bump Network,"Events.com, Inc.",2013-09-18
0001580251,"Attendware, Inc.","Attend.com, Inc.",2013-07-30
0001580547,"Toppic, Inc.","MRKT.COM, INC.",2013-07-02
0001606571,"G2 Crowd, Inc.","G2.com, Inc.",2018-10-15
0001624982,"Atlas Technology International, Inc.","Realstatez.com, INC",2017-12-08
0001660256,"ZCA Holdings 4, LP","ZCA Vroom.com Holdings, LP",2015-12-08
0001705990,Jesus Devesa,MEDWHAT.COM INC.,2017-05-10
0001788351,"Mistbox, Inc.","SmartAC.com, Inc.",2019-09-16
0001837978,Auris Netherlands IV N.V.,hear.com N.V.,2021-02-08
